year,country,pivotal1,pivotal2,pivotal3,pivotal4,pivotal5,pivotal6
1997,CHN,72.71,77.82,65.05,80.11,59.69,71.15
1997,CIV,28.78,33.88,21.13,51.62,15.48,26.76
1997,CMR,24.57,29.07,17.81,49.2,12.61,22.75
1997,COL,50.66,50.15,51.43,60.74,45.03,50.79
1997,CRI,30.8,32.1,28.84,50.71,22.49,30.43
1997,CYP,28.67,30.95,25.24,50.13,19.16,27.95
1997,CZE,50.62,53.3,46.59,62.69,39.99,49.83
1997,DEU,91.2,92.54,89.2,92.81,87.18,90.85
1997,DNK,60.56,63.71,55.84,69.57,49.7,59.65
1997,EGY,47.9,47.47,48.55,59.14,42.02,48.01
1997,ESP,72.79,74.81,69.77,77.73,64.92,72.25
1997,EST,25.46,27.9,21.8,48.63,16.07,24.66
1997,FIN,57.92,63.47,49.6,69.4,43.11,56.11
1997,FRA,84.97,87.07,81.81,87.87,78.59,84.4
1997,GBR,87.03,88.35,85.05,89.0,82.34,86.68
1997,GRC,48.43,46.19,51.8,58.39,45.41,48.91
1997,HKG,63.74,64.43,62.7,70.07,57.11,63.56
1997,HRV,32.42,31.2,34.26,50.26,27.65,32.69
1997,HUN,46.92,49.31,43.33,60.24,36.66,46.22
1997,IDN,65.68,68.75,61.07,73.16,55.33,64.8
1997,IND,58.06,61.42,53.03,67.99,46.71,57.07
1997,IRL,57.03,60.91,51.21,67.64,44.79,55.85
1997,ISL,22.75,25.34,18.87,47.4,13.52,21.87
1997,ISR,52.55,54.27,49.98,63.3,43.51,52.08
1997,ITA,81.94,84.19,78.57,85.38,74.87,81.33
1997,JOR,25.16,25.32,24.92,47.39,18.87,25.12
1997,JPN,89.62,91.57,86.7,91.92,84.26,89.1
1997,KAZ,41.0,44.33,36.0,57.31,29.35,39.95
1997,KHM,13.86,13.81,13.94,42.24,9.4,13.87
1997,KOR,74.29,78.38,68.16,80.56,63.13,73.09
1997,LAO,9.3,9.04,9.7,40.27,6.08,9.36
1997,LTU,27.34,28.97,24.89,49.15,18.85,26.85
1997,LUX,47.05,55.0,35.13,63.76,28.5,43.96
1997,LVA,24.23,26.26,21.18,47.84,15.53,23.58
1997,MAR,37.8,39.37,35.45,54.54,28.81,37.36
1997,MEX,70.76,73.22,67.06,76.51,61.91,70.07
1997,MLT,25.66,28.89,20.82,49.11,15.21,24.53
1997,MMR,22.18,21.12,23.76,45.44,17.82,22.4
1997,MYS,65.84,69.82,59.86,73.95,54.02,64.65
1997,NGA,50.84,54.72,45.03,63.58,38.39,49.64
1997,NLD,76.53,80.1,71.17,81.95,66.49,75.5
1997,NOR,64.27,69.25,56.79,73.53,50.71,62.71
1997,NZL,47.16,49.18,44.12,60.16,37.46,46.58
1997,PAK,40.46,41.38,39.07,55.64,32.38,40.21
1997,PER,41.19,42.69,38.94,56.38,32.25,40.77
1997,PHL,56.71,57.05,56.21,65.08,50.09,56.63
1997,POL,55.63,56.89,53.74,64.98,47.46,55.29
1997,PRT,53.44,53.67,53.1,62.92,46.79,53.38
1997,ROU,38.32,39.78,36.13,54.76,29.47,37.91
1997,RUS,71.88,73.38,69.62,76.63,64.76,71.48
1997,SAU,67.79,72.75,60.35,76.15,54.55,66.26
1997,SEN,15.57,17.75,12.31,43.93,8.1,14.78
1997,SGP,64.13,69.67,55.81,73.84,49.67,62.36
1997,SVK,41.56,44.24,37.55,57.26,30.87,40.76
1997,SVN,37.29,39.77,33.57,54.76,26.99,36.54
1997,SWE,68.64,72.4,63.0,75.88,57.44,67.54
1997,THA,63.7,65.95,60.32,71.14,54.52,63.07
1997,TUN,33.66,35.02,31.61,52.22,25.11,33.27
1997,TUR,60.45,60.59,60.25,67.43,54.44,60.42
1997,TWN,73.43,77.32,67.59,79.71,62.5,72.29
