hs,countries,description
482190,217,"Paper and paperboard: labels of all kinds, unprinted"
482210,139,"Paper pulp, paper or paperboard: bobbins, spools, cops and similar supports, of a kind used for winding textile yarn (whether or not perforated or hardened)"
482290,178,"Paper pulp, paper or paperboard: bobbins, spools, cops and similar supports, other than of a kind used for winding textile yarn (whether or not perforated or hardened)"
482320,208,Paper and paperboard: filter paper and paperboard
482340,202,"Paper and paperboard: rolls, sheets and dials, printed for self-recording apparatus"
482361,190,"Paper and paperboard: trays, dishes, plates, cups and the like, of bamboo paper or paperboard"
482369,219,"Paper and paperboard: trays, dishes, plates, cups and the like, of paper or paperboard other than of bamboo"
482370,212,Paper pulp: moulded or pressed articles or paper pulp
482390,219,"Paper pulp, paper, paperboard, cellulose wadding or webs of cellulose fibres: articles n.e.c. in heading no. 4823"
490110,215,"Printed matter: in single sheets, whether or not folded"
490191,195,"Printed matter: dictionaries, encyclopaedias and serial instalments thereof"
490199,225,"Printed matter: books, brochures, leaflets and similar printed matter n.e.c. in item no. 4901.10 or 4901.91"
490210,142,"Newspapers, journals and periodicals: whether or not illustrated or containing advertising material, appearing at least four times a week"
490290,202,"Newspapers, journals and periodicals: whether or not illustrated or containing advertising material, appearing less frequently than four times a week"
490300,202,"Printed matter: children's picture, drawing or colouring books"
490400,149,"Music: printed or in manuscript, whether or not bound or illustrated"
490520,152,"Maps and hydrographic or similar charts: printed in book form, including atlases, topographical plans and similar"
490590,199,"Maps and hydrographic or similar charts: (printed other than in book form), including wall maps, topographical plans and similar"
490600,169,"Plans and drawings: for architectural, engineering, industrial, commercial, topographical or similar, being originals drawn by hand: hand-written texts: photo- graphic reproductions: their carbon copies"
490700,198,"Unused postage, revenue or similar stamps of current or new issue in the country in which they have, or will have, a recognised face value: stamp-impressed paper: cheque forms: banknotes, stock, share or bond certificates and the like of similar title"
490810,167,"Printed matter: transfers (decalcomanias), vitrifiable"
490890,200,"Printed matter: transfers (decalcomanias), other than vitrifiable"
490900,214,"Printed or illustrated postcards: printed cards bearing personal greetings, messages or announcements, whether or not illustrated, with or without envelopes or trimmings"
491000,217,"Calendars: printed, of any kind, including calendar blocks"
491110,220,"Printed matter: trade advertising material, commercial catalogues and the like"
491191,210,"Printed matter: pictures, designs and photographs, n.e.c. in item no. 4911.10"
491199,221,Printed matter: n.e.c. in heading no. 4911
500100,61,Silk: silk-worm cocoons suitable for reeling
500200,85,Silk: raw silk (not thrown)
500300,68,"Silk waste (including cocoons unsuitable for reeling, yarn waste and garnetted stock)"
500400,127,"Silk: yarn (other than yarn spun from silk waste), not put up for retail sale"
500500,101,"Silk: yarn spun from silk waste, not put up for retail sale"
500600,131,"Silk yarn and yarn spun from silk waste: put up for retail sale, and silk-worm gut"
500710,133,Silk: woven fabrics of noil silk
500720,157,"Silk: woven fabrics, containing 85% or more by weight of silk or of silk waste other than noil silk"
500790,165,Silk: woven fabrics n.e.c. in heading no. 5007
510111,81,"Wool: (not carded or combed), greasy (including fleece-washed wool), shorn"
510119,89,"Wool: (other than shorn), greasy (including fleece-washed wool), not carded or combed"
510121,76,"Wool: (not carded or combed), degreased, (not carbonised), shorn"
510129,81,"Wool: (not carded or combed), degreased, (not carbonised), (other than shorn)"
510130,61,"Wool: (not carded or combed), carbonised"
510211,64,"Hair: fine animal hair, not carded or combed, of kashmir (cashmere) goats"
510219,73,"Hair: fine animal hair, not carded or combed, other than of kashmir (cashmere) goats"
510220,64,"Hair: coarse animal hair, not carded or combed"
510310,55,"Wool and hair: noils of wool or of fine animal hair, including yarn waste, but excluding garnetted stock"
510320,57,"Wool and hair: waste of wool or of fine animal hair, including yarn waste, but excluding garnetted stock and noils of wool or of fine animal hair"
510330,32,"Wool and hair: waste of coarse animal hair, including yarn waste, but excluding garnetted stock"
510400,56,Wool and hair: garnetted stock of wool or of fine or coarse animal hair
510510,100,Wool: carded
510521,75,"Wool: wool tops and other combed wool, in fragments"
510529,110,"Wool: wool tops and other combed wool, other than in fragments"
510531,60,"Hair: fine animal hair, carded or combed, of kashmir (cashmere) goats"
510539,85,"Hair: fine animal hair, carded or combed, other than of kashmir (cashmere) goats"
510540,58,"Hair: coarse animal hair, carded or combed"
510610,121,"Yarn: of carded wool, containing 85% or more by weight of wool, not put up for retail sale"
510620,110,"Yarn: of carded wool, containing less than 85% by weight of wool, not put up for retail sale"
510710,124,"Yarn: of combed wool, containing 85% or more by weight of wool, not put up for retail sale"
510720,126,"Yarn: of combed wool, containing less than 85% by weight of wool, not put up for retail sale"
510810,95,"Yarn: of fine animal hair, carded, not put up for retail sale"
510820,109,"Yarn: of fine animal hair, combed, not put up for retail sale"
510910,153,"Yarn: of wool or of fine animal hair, containing 85% or more by weight of wool or fine animal hair, put up for retail sale"
510990,159,"Yarn: of wool or of fine animal hair, containing less than 85% by weight of wool or fine animal hair, put up for retail sale"
511000,78,"Yarn: of coarse animal hair or of horsehair (including gimped horsehair yarn), whether or not put up for retail sale"
511111,129,"Fabrics, woven: of carded wool or of carded fine animal hair, containing 85% or more by weight of wool or of fine animal hair, of a weight not exceeding 300g/m2"
511119,128,"Fabrics, woven: of carded wool or of carded fine animal hair, containing 85% or more by weight of wool or of fine animal hair, of a weight exceeding 300g/m2"
511120,118,"Fabrics, woven: of carded wool or carded fine animal hair, containing less than 85% by weight of wool or fine animal hair, mixed mainly or solely with man-made filaments"
511130,121,"Fabrics, woven: of carded wool or carded fine animal hair, containing less than 85% by weight of wool or fine animal hair, mixed mainly or solely with man-made staple fibres"
511190,132,"Fabrics, woven: of carded wool or carded fine animal hair, containing less than 85% by weight of wool or fine animal hair, mixed mainly or solely with fibres n.e.c. in heading no. 5111"
511211,138,"Fabrics, woven: of combed wool or combed fine animal hair, containing 85% or more by weight of wool or fine animal hair, of a weight not exceeding 200g/m2"
511219,139,"Fabrics, woven: of combed wool or combed fine animal hair, containing 85% or more by weight of wool or fine animal hair, of a weight exceeding 200g/m2"
511220,119,"Fabrics, woven: of combed wool or combed fine animal hair, containing less than 85% by weight of wool or fine animal hair, mixed mainly or solely with man-made filaments"
511230,125,"Fabrics, woven: of combed wool or combed fine animal hair, containing less than 85% by weight of wool or fine animal hair, mixed mainly or solely with man-made staple fibres"
511290,128,"Fabrics, woven: of combed wool or combed fine animal hair, containing less than 85% by weight of wool or fine animal hair, mixed mainly or solely with fibres n.e.c. in heading no. 5112"
511300,94,"Fabrics, woven: of coarse animal hair or of horsehair"
520100,173,Cotton: not carded or combed
520210,139,Cotton: yarn waste (including thread waste)
520291,105,Cotton: garnetted stock waste
520299,159,Cotton: waste other than garnetted stock and yarn (including thread) waste
520300,162,Cotton: carded or combed
520411,177,"Cotton: sewing thread, containing 85% or more by weight of cotton, not put up for retail sale"
520419,159,"Cotton: sewing thread, containing less than 85% by weight of cotton, not put up for retail sale"
520420,179,"Cotton: sewing thread, put up for retail sale"
520511,140,"Cotton yarn: (not sewing thread), single, of uncombed fibres, 85% or more by weight of cotton, measuring 714.29 decitex or more, (not exceeding 14 metric number), not for retail sale"
520512,137,"Cotton yarn: (not sewing thread), single, of uncombed fibres, 85% or more by weight of cotton, less than 714.29 but not less than 232.56 decitex (exceeding 14 but not exceeding 43 metric number), not for retail sale"
520513,98,"Cotton yarn: (not sewing thread), single, of uncombed fibres, 85% or more by weight of cotton, less than 232.56 but not less than 192.31 decitex (exceeding 43 but not exceeding 52 metric number), not for retail sale"
520514,82,"Cotton yarn: (not sewing thread), single, of uncombed fibres, 85% or more by weight of cotton, less than 192.31 but not less than 125 decitex (exceeding 52 but not exceeding 80 metric number), not for retail sale"
520515,67,"Cotton yarn: (not sewing thread), single, of uncombed fibres, 85% or more by weight of cotton, measuring less than 125 decitex (exceeding 80 metric number), not for retail sale"
520521,104,"Cotton yarn: (not sewing thread), single, of combed fibres, 85% or more by weight of cotton, measuring 714.29 decitex or more, (not exceeding 14 metric number), not for retail sale"
520522,133,"Cotton yarn: (not sewing thread), single, of combed fibres, 85% or more by weight of cotton, less than 714.29 but not less than 232.56 decitex (exceeding 14 but not exceeding 43 metric number), not for retail sale"
520523,115,"Cotton yarn: (not sewing thread), single, of combed fibres, 85% or more by weight of cotton, less than 232.56 but not less than 192.31 decitex (exceeding 43 but not exceeding 52 metric number), not for retail sale"
520524,113,"Cotton yarn: (not sewing thread), single, of combed fibres, 85% or more by weight of cotton, less than 192.31 but not less than 125 decitex (exceeding 52 but not exceeding 80 metric number), not for retail sale"
520526,70,"Cotton yarn: (not sewing thread), single, of combed fibres, 85% or more by weight of cotton, less than 125 but not less than 106.38 decitex (over 80 but not over 94 metric number), not for retail sale"
520527,73,"Cotton yarn: (not sewing thread), single, of combed fibres, 85% or more by weight of cotton, less than 106.38 but not less than 83.33 decitex (over 94 but not over 120 metric number), not for retail sale"
520528,72,"Cotton yarn: (not sewing thread), single, of combed fibres, 85% or more by weight of cotton, measuring less than 83.33 decitex (exceeding 120 metric number), not for retail sale"
520531,112,"Cotton yarn: (not sewing thread), multiple or cabled, of uncombed fibres, 85% or more by weight of cotton, 714.29 decitex or more (not exceeding 14 metric number) per single yarn, not for retail sale"
520532,125,"Cotton yarn: (not sewing thread), multiple or cabled, of uncombed fibres, 85% or more by weight of cotton, 714.28 to 232.56 decitex (15 to 43 metric number) per single yarn, not for retail sale"
520533,96,"Cotton yarn: (not sewing thread), multiple or cabled, of uncombed fibres, 85% or more by weight of cotton, 232.55 to 192.31 decitex (44 to 52 metric number) per single yarn, not for retail sale"
520534,73,"Cotton yarn: (not sewing thread), multiple or cabled, of uncombed fibres, 85% or more by weight of cotton, 192.30 to 125 decitex (53 to 80 metric number) per single yarn, not for retail sale"
520535,55,"Cotton yarn: (not sewing thread), multiple or cabled, of uncombed fibres, 85% or more by weight of cotton, less than 125 decitex (exceeding 80 metric number), per single yarn, not for retail sale"
520541,99,"Cotton yarn: (not sewing thread), multiple or cabled, of combed fibres, 85% or more by weight of cotton, 714.29 decitex or more (not exceeding 14 metric number) per single yarn, not for retail sale"
520542,129,"Cotton yarn: (not sewing thread), multiple or cabled, of combed fibres, 85% or more by weight of cotton, 714.28 to 232.56 decitex (15 to 43 metric number) per single yarn, not for retail sale"
520543,86,"Cotton yarn: (not sewing thread), multiple or cabled, of combed fibres, 85% or more by weight of cotton, 232.55 to 192.31 decitex (44 to 52 metric number) per single yarn, not for retail sale"
520544,89,"Cotton yarn: (not sewing thread), multiple or cabled, of combed fibres, 85% or more by weight of cotton, 192.30 to 125 decitex (53 to 80 metric number) per single yarn, not for retail sale"
520546,62,"Cotton yarn: (not sewing thread), multiple or cabled, of combed fibres, 85% or more by weight of cotton, 124 to 106.38 decitex (81 to 94 metric number) per single yarn, not for retail sale"
520547,78,"Cotton yarn: (not sewing thread), multiple or cabled, of combed fibres, 85% or more by weight of cotton, 106.37 to 83.33 decitex (95 to 120 metric number) per single yarn, not for retail sale"
520548,119,"Cotton yarn: (not sewing thread), multiple or cabled, of combed fibres, 85% or more by weight of cotton, less than 83.33 decitex (exceeding 120 metric number) per single yarn, not for retail sale"
520611,121,"Cotton yarn: (not sewing thread), single, of uncombed fibres, less than 85% by weight of cotton, measuring 714.29 decitex or more (not exceeding 14 metric number), not for retail sale"
520612,119,"Cotton yarn: (not sewing thread), single, of uncombed fibres, less than 85% by weight of cotton, less than 714.29 but not less than 232.56 decitex (exceeding 14 but not exceeding 43 metric number), not for retail sale"
520613,73,"Cotton yarn: (not sewing thread), single, of uncombed fibres, less than 85% by weight of cotton, less than 232.56 but not less than 192.31 decitex (exceeding 43 but not exceeding 52 metric number), not for retail sale"
520614,58,"Cotton yarn: (not sewing thread), single, of uncombed fibres, less than 85% by weight of cotton, less than 192.31 but not less than 125 decitex (exceeding 52 but not exceeding 80 metric number), not for retail sale"
520615,47,"Cotton yarn: (not sewing thread), single, of uncombed fibres, less than 85% by weight of cotton, measuring less than 125 decitex (exceeding 80 metric number), not for retail sale"
520621,98,"Cotton yarn: (not sewing thread), single, of combed fibres, less than 85% by weight of cotton, measuring 714.29 decitex or more, (not exceeding 14 metric number), not for retail sale"
520622,103,"Cotton yarn: (not sewing thread), single, of combed fibres, less than 85% by weight of cotton, less than 714.29 but not less than 232.56 decitex (exceeding 14 but not exceeding 43 metric number), not for retail sale"
520623,82,"Cotton yarn: (not sewing thread), single, of combed fibres, less than 85% by weight of cotton, less than 232.56 but not less than 192.31 decitex (exceeding 43 but not exceeding 52 metric number), not for retail sale"
520624,78,"Cotton yarn: (not sewing thread), single, of combed fibres, less than 85% by weight of cotton, less than 192.31 but not less than 125 decitex (exceeding 52 but not exceeding 80 metric number), not for retail sale"
520625,48,"Cotton yarn: (not sewing thread), single, of combed fibres, less than 85% by weight of cotton, measuring less than 125 decitex (exceeding 80 metric number), not for retail sale"
520631,101,"Cotton yarn: (not sewing thread), multiple or cabled, of uncombed fibres, less than 85% by weight of cotton, 714.29 decitex or more (not exceeding 14 metric number) per single yarn, not for retail sale"
520632,88,"Cotton yarn: (not sewing thread), multiple or cabled, of uncombed fibres, less than 85% by weight of cotton, 714.28 to 232.56 decitex (15 to 43 metric number) per single yarn, not for retail sale"
520633,83,"Cotton yarn: (not sewing thread), multiple or cabled, of uncombed fibres, less than 85% by weight of cotton, 232.55 to 192.31 decitex (44 to 52 metric number) per single yarn, not for retail sale"
520634,32,"Cotton yarn: (not sewing thread), multiple or cabled, of uncombed fibres, less than 85% by weight of cotton, 192.30 to 125 decitex (53 to 80 metric number) per single yarn, not for retail sale"
520635,32,"Cotton yarn: (not sewing thread), multiple or cabled, of uncombed fibres, less than 85% by weight of cotton, less than 125 decitex (exceeding 80 metric number) per single yarn, not for retail sale"
520641,74,"Cotton yarn: (not sewing thread), multiple or cabled, of combed fibres, less than 85% by weight of cotton, 714.29 decitex or more (not exceeding 14 metric number) per single yarn, not for retail sale"
520642,79,"Cotton yarn: (not sewing thread), multiple or cabled, of combed fibres, less than 85% by weight of cotton, 714.28 to 232.56 decitex (15 to 43 metric number) per single yarn, not for retail sale"
520643,65,"Cotton yarn: (not sewing thread), multiple or cabled, of combed fibres, less than 85% by weight of cotton, 232.55 to 192.31 decitex (44 to 52 metric number) per single yarn, not for retail sale"
520644,60,"Cotton yarn: (not sewing thread), multiple or cabled, of combed fibres, less than 85% by weight of cotton, 192.30 to 125 decitex (53 to 80 metric number) per single yarn, not for retail sale"
520645,81,"Cotton yarn: (not sewing thread), multiple or cabled, of combed fibres, less than 85% by weight of cotton, less than 125 decitex (exceeding 80 metric number) per single yarn, not for retail sale"
520710,168,"Cotton yarn: (not sewing thread), containing 85% or more by weight of cotton, put up for retail sale"
520790,172,"Cotton yarn: (not sewing thread), containing less than 85% by weight of cotton, put up for retail sale"
520811,172,"Fabrics, woven: containing 85% or more by weight of cotton, unbleached, plain weave, weighing not more than 100g/m2"
520812,168,"Fabrics, woven: containing 85% or more by weight of cotton, unbleached, plain weave, weighing more than 100g/m2 but not more than 200g/m2"
520813,119,"Fabrics, woven: containing 85% or more by weight of cotton, unbleached, 3-thread or 4-thread twill, including cross twill, weighing not more than 200g/m2"
520819,173,"Fabrics, woven: containing 85% or more by weight of cotton, unbleached, of weaves n.e.c. in item no. 5208.1, weighing not more than 200g/m2"
520821,176,"Fabrics, woven: containing 85% or more by weight of cotton, bleached, plain weave, weighing not more than 100g/m2"
520822,157,"Fabrics, woven: containing 85% or more by weight of cotton, bleached, plain weave, weighing more than 100g/m2 but not more than 200g/m2"
520823,125,"Fabrics, woven: containing 85% or more by weight of cotton, bleached, 3-thread or 4-thread twill, including cross twill, weighing not more than 200g/m2"
520829,167,"Fabrics, woven: containing 85% or more by weight of cotton, bleached, of weaves n.e.c. in item no. 5208.2, weighing not more than 200g/m2"
520831,171,"Fabrics, woven: containing 85% or more by weight of cotton, dyed, plain weave, weighing not more than 100g/m2"
520832,182,"Fabrics, woven: containing 85% or more by weight of cotton, dyed, plain weave, weighing more than 100g/m2 but not more than 200g/m2"
520833,146,"Fabrics, woven: containing 85% or more by weight of cotton, dyed, 3-thread or 4-thread twill, including cross twill, weighing not more than 200g/m2"
520839,180,"Fabrics, woven: containing 85% or more by weight of cotton, dyed, of weaves n.e.c. in item no. 5208.3 weighing not more than 200g/m2"
520841,120,"Fabrics, woven: containing 85% or more by weight of cotton, of yarns of different colours, plain weave, weighing not more than 100g/m2"
520842,169,"Fabrics, woven: containing 85% or more by weight of cotton, of yarns of different colours, weighing more than 100g/m2 but not more than 200g/m2"
520843,131,"Fabrics, woven: containing 85% or more by weight of cotton, of yarns of different colours, 3-thread or 4-thread twill, including cross twill, weighing not more than 200g/m2"
520849,167,"Fabrics, woven: containing 85% or more by weight of cotton, of yarns of different colours, of weaves n.e.c. in item no. 5208.4, weighing not more than 200g/m2"
520851,166,"Fabrics, woven: containing 85% or more by weight of cotton, printed, plain weave, weighing not more than 100g/m2"
520852,185,"Fabrics, woven: containing 85% or more by weight of cotton, printed, plain weave, weighing more than 100g/m2 but not more than 200g/m2"
520859,187,"Fabrics, woven: containing 85% or more by weight of cotton, printed, of weaves n.e.c. in item no. 5208.5, weighing not more than 200g/m2"
520911,159,"Fabrics, woven: containing 85% or more by weight of cotton, unbleached, plain weave, weighing more than 200g/m2"
520912,130,"Fabrics, woven: containing 85% or more by weight of cotton, unbleached, 3-thread or 4-thread twill, including cross twill, weighing more than 200g/m2"
520919,152,"Fabrics, woven: containing 85% or more by weight of cotton, unbleached, of weaves n.e.c. in item no. 5209.1, weighing more than 200g/m2"
520921,133,"Fabrics, woven: containing 85% or more by weight of cotton, bleached, plain weave, weighing more than 200g/m2"
520922,115,"Fabrics, woven: containing 85% or more by weight of cotton, bleached, 3-thread or 4-thread twill, including cross twill, weighing more than 200g/m2"
520929,146,"Fabrics, woven: containing 85% or more by weight of cotton, bleached, of weaves n.e.c. in item no. 5209.2, weighing more than 200g/m2"
520931,162,"Fabrics, woven: containing 85% or more by weight of cotton, dyed, plain weave, weighing more than 200g/m2"
520932,150,"Fabrics, woven: containing 85% or more by weight of cotton, dyed, 3-thread or 4-thread twill, including cross twill, weighing more than 200g/m2"
520939,173,"Fabrics, woven: containing 85% or more by weight of cotton, dyed, of weaves n.e.c. in item no. 5209.3, weighing more than 200g/m2"
520941,108,"Fabrics, woven: containing 85% or more by weight of cotton, of yarns of different colours, plain weave, weighing more than 200g/m2"
520942,173,"Fabrics, woven: containing 85% or more by weight of cotton, of yarns of different colours, weighing more than 200g/m2, denim"
520943,114,"Fabrics, woven: containing 85% or more by weight of cotton, of yarns of different colours, 3-thread or 4-thread twill, including cross twill, weighing more than 200g/m2"
520949,146,"Fabrics, woven: containing 85% or more by weight of cotton, of yarns of different colours, of weaves n.e.c. in item no. 5209.4, weighing more than 200g/m2"
520951,129,"Fabrics, woven: containing 85% or more by weight of cotton, printed, plain weave, weighing more than 200g/m2"
520952,114,"Fabrics, woven: containing 85% or more by weight of cotton, printed, 3-thread or 4-thread twill, including cross twill, weighing more than 200g/m2"
520959,158,"Fabrics, woven: containing 85% or more by weight of cotton, printed, of weaves n.e.c. in item no. 5209.5, weighing more than 200g/m2"
521011,143,"Fabrics, woven: containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, unbleached, plain weave, weighing 200g/m2 or less"
521019,134,"Fabrics, woven: containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, unbleached, of weaves n.e.c. in item no. 5210.1, weighing 200g/m2 or less"
521021,147,"Fabrics, woven: containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, bleached, plain weave, weighing 200g/m2 or less"
521029,138,"Fabrics, woven: containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing 200g/m2 or less, bleached, of weaves n.e.c. in item no. 5210.2"
521031,157,"Fabrics, woven: containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing 200g/m2 or less, dyed, plain weave"
521032,128,"Fabrics, woven: containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing 200g/m2 or less, dyed, 3-thread or 4-thread twill, including cross twill"
521039,150,"Fabrics, woven: containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing 200g/m2 or less, dyed, of weaves n.e.c. in item no. 5210.3"
521041,129,"Fabrics, woven: containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing 200g/m2 or less, of yarns of different colours, plain weave"
521049,138,"Fabrics, woven: containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing 200g/m2 or less, of yarns of different colours, of weaves n.e.c. in item no. 5210.4"
521051,133,"Fabrics, woven: containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing 200g/m2 or less, printed, plain weave"
521059,150,"Fabrics, woven: containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing 200g/m2 or less, printed, of weaves n.e.c. in item no. 5210.5"
521111,119,"Fabrics, woven: containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, unbleached, plain weave, weighing more than 200g/m2"
521112,99,"Fabrics, woven: containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, unbleached, 3- or 4-thread twill, including cross twill, weighing more than 200g/m2"
521119,126,"Fabrics, woven: containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, unbleached, of weaves n.e.c. in item no. 5211.1, weighing more than 200g/m2"
521120,127,"Fabrics, woven: containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing more than 200g/m2, bleached"
521131,130,"Fabrics, woven: containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing more than 200g/m2, dyed, plain weave"
521132,135,"Fabrics, woven: containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing more than 200g/m2, dyed, 3-thread or 4-thread twill, including cross twill"
521139,153,"Fabrics, woven: containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing more than 200g/m2, dyed, of weaves n.e.c. in item no. 5211.3"
521141,113,"Fabrics, woven: containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing more than 200g/m2, of yarns of different colours, plain weave"
521142,144,"Fabrics, woven: containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing more than 200g/m2, of yarns of different colours, denim"
521143,104,"Fabrics, woven: containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing more than 200g/m2, of yarns of different colours, 3-thread or 4-thread twill, including cross twill"
521149,150,"Fabrics, woven: containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing more than 200g/m2, of yarns of different colours, of weaves n.e.c. in item no. 5211.4"
521151,127,"Fabrics, woven: containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing more than 200g/m2, printed, plain weave"
521152,103,"Fabrics, woven: containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing more than 200g/m2, printed, 3-thread or 4-thread twill, including cross twill"
521159,147,"Fabrics, woven: containing less than 85% by weight of cotton, mixed mainly or solely with man-made fibres, weighing more than 200g/m2, printed, of weaves n.e.c. in item no. 5211.5"
521211,127,"Fabrics, woven: of cotton, unbleached, weighing not more than 200g/m2, n.e.c. in chapter 52"
521212,123,"Fabrics, woven: of cotton, bleached, weighing not more than 200g/m2, n.e.c. in chapter 52"
521213,137,"Fabrics, woven: of cotton, dyed, weighing not more than 200g/m2, n.e.c. in chapter 52"
521214,130,"Fabrics, woven: of cotton, of yarns of different colours, weighing not more than 200g/m2, n.e.c. in chapter 52"
521215,142,"Fabrics, woven: of cotton, printed, weighing not more than 200g/m2, n.e.c. in chapter 52"
521221,112,"Fabrics, woven: of cotton, unbleached, weighing more than 200g/m2, n.e.c. in chapter 52"
521222,97,"Fabrics, woven: of cotton, bleached, weighing more than 200g/m2, n.e.c. in chapter 52"
521223,134,"Fabrics, woven: of cotton, dyed, weighing more than 200g/m2, n.e.c. in chapter 52"
521224,128,"Fabrics, woven: of cotton, of yarns of different colours, weighing more than 200g/m2, n.e.c. in chapter 52"
521225,149,"Fabrics, woven: of cotton, printed, weighing more than 200g/m2, n.e.c. in chapter 52"
530110,93,"Flax: raw or retted, but not spun"
530121,67,"Flax: broken or scutched, but not spun"
530129,147,"Flax: hackled or otherwise processed, but not spun"
530130,112,"Flax: tow and waste, including yarn waste and garnetted stock"
530210,87,"Hemp (cannabis sativa L.): raw or retted, but not spun"
530290,110,"Hemp (cannabis sativa L.): processed (other than retted) (but not spun), true hemp tow and waste (including yarn waste and garnetted stock)"
530310,118,"Jute and other textile bast fibres: raw or retted, but not spun, (excluding flax, hemp (cannabis sativa L.), and ramie)"
530390,134,"Jute and other textile bast fibres: processed but not spun, tow and waste of these fibres, including yarn waste and garnetted stock (excluding flax, hemp (cannabis sativa L.), and ramie)"
530500,179,"Coconut, abaca (Manila hemp or Musa textilis Nee), ramie and other vegetable textile fibres n.e.c., raw or processed but not spun: tow, noils and waste of these fibres (including yarn waste and garnetted stock)"
530610,114,"Yarn: of flax, single"
530620,130,"Yarn: of flax, multiple (folded) or cabled"
530710,132,"Yarn: of jute or of other textile bast fibres, single"
530720,148,"Yarn: of jute or of other textile bast fibres, multiple (folded) or cabled"
530810,88,Yarn: of coir
530820,119,Yarn: of hemp (cannabis sativa L.)
530890,147,"Yarn: of vegetable textile fibres n.e.c. in heading no. 5306, 5307 and 5308"
530911,151,"Fabrics, woven: of flax, containing 85% or more flax, unbleached or bleached"
530919,158,"Fabrics, woven: of flax, containing 85% or more flax, other than bleached or unbleached"
530921,120,"Fabrics, woven: of flax, containing less than 85% flax, unbleached or bleached"
530929,149,"Fabrics, woven: of flax, containing less than 85% flax, other than unbleached or bleached"
531010,162,"Fabrics, woven: of jute or of other textile bast fibres of heading no. 5303, unbleached"
531090,148,"Fabrics, woven: of jute or of other textile bast fibres of heading no. 5303, other than unbleached"
531100,159,"Fabrics, woven: of vegetable textile fibres n.e.c. in heading no. 5309 and 5310, woven fabrics of paper yarn"
540110,201,"Sewing thread: of synthetic filaments, whether or not put up for retail sale"
540120,167,"Sewing thread: of artificial filaments, whether or not put up for retail sale"
540211,133,"Yarn, synthetic: filament, monofilament (less than 67 decitex), of high tenacity yarn of nylon or other polyamides, textured or not: of aramids, not for retail sale, not sewing thread"
540219,162,"Yarn, synthetic: filament, monofilament (less than 67 decitex), of high tenacity nylon or other polyamides, textured or not: other than aramids, not for retail sale, not sewing thread"
540220,163,"Yarn, synthetic: filament, monofilament (less than 67 decitex), of high tenacity yarn of polyesters, whether or not textured, not for retail sale, not sewing thread"
540231,141,"Yarn, synthetic: filament, monofilament (less than 67 decitex), textured, of nylon or other polyamides, measuring per single yarn not more than 50 decitex, not for retail sale, not sewing thread"
540232,144,"Yarn, synthetic: filament, monofilament (less than 67 decitex), textured, of nylon or other polyamides, measuring per single yarn more than 50 decitex, not for retail sale, not sewing thread"
540233,165,"Yarn, synthetic: filament, monofilament (less than 67 decitex), textured, of polyesters, not for retail sale, not sewing thread"
540234,145,"Yarn, synthetic: filament, monofilament (less than 67 decitex), textured, of polypropylene, not for retail sale, not sewing thread"
540239,152,"Yarn, synthetic: filament, monofilament (less than 67 decitex), textured, other than of nylon or other polymides, polyesters, or polypropylene, not for retail sale, not sewing thread"
540244,140,"Yarn, synthetic: filament, monofilament (less than 67 decitex), other than high tenacity or textured yarn, elastomeric, single, untwisted or twisted 50 turns or less per metre, not for retail sale, not sewing thread"
540245,137,"Yarn, synthetic: filament, monofilament (less than 67 decitex), of nylon or other polymides (not high tenacity or textured), single, untwisted or twisted 50 turns or less per metre, not for retail sale, not sewing thread"
540246,98,"Yarn, synthetic: filament, monofilament (less than 67 decitex), of polyesters (not high tenacity or textured), partially oriented, single, untwisted or twisted 50 turns or less per metre, not for retail sale, not sewing thread"
